InvoiceId,Description,Quantity,Unit_Price,Tax_Rate,Total_Excluding_Tax,Tax_Amount,Profit,Total_Including_Tax,employee_Id,EmployeeFirstName,EmployeeLastName,Is_Salesperson,Stock_Item_Id,Stock_Item_Name,Stock_ItemColor,Stock_Item_Size,Item_Size,Stock_ItemPrice,Customer_Id,CustomerName,CustomerCategory,CustomerContactName,CustomerPostalCode,CustomerContactNumber,City_ID,City,State_Province,Country,Continent,Sales_Territory,Region,Subregion,Latest_Recorded_Population
66804,Shipping carton (Brown) 500x310x310mm,250,2.549999952,15,637.5,95.62999725,362.5,733.1300049,6,Sophia ,Hinton,TRUE,178,Shipping carton (Brown) 500x310x310mm,N/A,500x310x310mm,0.400000006,2.549999952,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031773,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67705,Void fill 400 L bag (White) 400L,40,50,15,2000,300,960,2300,2,Kayla ,Woodcock,TRUE,219,Void fill 400 L bag (White) 400L,N/A,400L,1,50,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031774,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67008,10 mm Double sided bubble wrap 20m,70,30,15,2100,315,1120,2415,2,Kayla ,Woodcock,TRUE,157,10 mm Double sided bubble wrap 20m,N/A,20m,6,30,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031775,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67008,USB food flash drive - dim sum 10 drive variety pack,7,240,15,1680,252,1060.5,1932,2,Kayla ,Woodcock,TRUE,8,USB food flash drive - dim sum 10 drive variety pack,N/A,N/A,0.5,240,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031776,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67705,Developer joke mug - when your hammer is C++ (White),3,13,15,39,5.849999905,25.5,44.84999847,2,Kayla ,Woodcock,TRUE,36,Developer joke mug - when your hammer is C++ (White),White,N/A,0.150000006,13,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031777,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67705,"The Gu"" red shirt XML tag t-shirt (White) L""",96,18,15,1728,259.2000122,1056,1987.199951,2,Kayla ,Woodcock,TRUE,81,"The Gu"" red shirt XML tag t-shirt (White) L""",White,L,0.349999994,18,443,"Wingtip Toys (Berville, MI)",Novelty Shop,Lien Banh,90628,9000031778,2815,Berville,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
66873,"The Gu"" red shirt XML tag t-shirt (White) XXS""",24,18,15,432,64.80000305,264,496.7999878,8,Anthony ,Grosse,TRUE,77,"The Gu"" red shirt XML tag t-shirt (White) XXS""",White,XXS,0.25,18,187,"Tailspin Toys (Brown City, MI)",Novelty Shop,Biplab De,90503,9000031779,4291,Brown City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1325
68422,Halloween zombie mask (Light Brown) XL,84,18,15,1512,226.8000031,-84,1738.800049,13,Hudson ,Hollinworth,TRUE,145,Halloween zombie mask (Light Brown) XL,Light Brown,XL,0.300000012,18,187,"Tailspin Toys (Brown City, MI)",Novelty Shop,Biplab De,90503,9000031780,4291,Brown City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1325
66852,Alien officer hoodie (Black) 3XL,5,35,15,175,26.25,90,201.25,8,Anthony ,Grosse,TRUE,104,Alien officer hoodie (Black) 3XL,Black,3XL,0.400000006,35,187,"Tailspin Toys (Brown City, MI)",Novelty Shop,Biplab De,90503,9000031781,4291,Brown City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1325
68422,RC vintage American toy coupe with remote control (Black) 1/50 scale,4,30,15,120,18,60,138,13,Hudson ,Hollinworth,TRUE,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,1/50 scale,1.700000048,30,187,"Tailspin Toys (Brown City, MI)",Novelty Shop,Biplab De,90503,9000031782,4291,Brown City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1325
66852,Chocolate sharks 250g,48,8.550000191,10,410.3999939,41.04000092,182.3999939,451.4400024,8,Anthony ,Grosse,TRUE,225,Chocolate sharks 250g,N/A,250g,0.25,8.550000191,187,"Tailspin Toys (Brown City, MI)",Novelty Shop,Biplab De,90503,9000031783,4291,Brown City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1325
67228,Permanent marker red 5mm nib (Red) 5mm,96,2.700000048,15,259.2000122,38.88000107,96,298.0799866,16,Archer ,Lamble,TRUE,208,Permanent marker red 5mm nib (Red) 5mm,N/A,5mm,0.100000001,2.700000048,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031784,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67673,Alien officer hoodie (Black) 3XL,10,35,15,350,52.5,180,402.5,6,Sophia ,Hinton,TRUE,104,Alien officer hoodie (Black) 3XL,Black,3XL,0.400000006,35,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031785,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67228,"Developer joke mug - (hip, hip, array) (White)",9,13,15,117,17.54999924,76.5,134.5500031,16,Archer ,Lamble,TRUE,40,"Developer joke mug - (hip, hip, array) (White)",White,N/A,0.150000006,13,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031786,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67673,"The Gu"" red shirt XML tag t-shirt (White) 3XS""",24,18,15,432,64.80000305,264,496.7999878,6,Sophia ,Hinton,TRUE,76,"The Gu"" red shirt XML tag t-shirt (White) 3XS""",White,3XS,0.25,18,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031787,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67228,Halloween zombie mask (Light Brown) L,36,18,15,648,97.19999695,-36,745.2000122,16,Archer ,Lamble,TRUE,144,Halloween zombie mask (Light Brown) L,Light Brown,L,0.300000012,18,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031788,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67228,"The Gu"" red shirt XML tag t-shirt (Black) XXL""",36,18,15,648,97.19999695,378,745.2000122,16,Archer ,Lamble,TRUE,96,"The Gu"" red shirt XML tag t-shirt (Black) XXL""",Black,XXL,0.400000006,18,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031789,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67753,"The Gu"" red shirt XML tag t-shirt (White) S""",108,18,15,1944,291.6000061,1188,2235.600098,16,Archer ,Lamble,TRUE,79,"The Gu"" red shirt XML tag t-shirt (White) S""",White,S,0.300000012,18,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031790,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67228,USB food flash drive - banana,10,32,15,320,48,200,368,16,Archer ,Lamble,TRUE,9,USB food flash drive - banana,N/A,N/A,0.050000001,32,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031791,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
67753,Black and orange glass with care despatch tape  48mmx100m,192,4.099999905,15,787.2000122,118.0800018,403.2000122,905.2800293,16,Archer ,Lamble,TRUE,194,Black and orange glass with care despatch tape  48mmx100m,N/A,48mmx100m,0.699999988,4.099999905,600,"Wingtip Toys (Caro, MI)",Novelty Shop,Ljubomir Nesic,90043,9000031792,5407,Caro,Michigan,United States,North America,Great Lakes,Americas,Northern America,4229
68304,USB food flash drive - fortune cookie,7,32,15,224,33.59999847,140,257.6000061,3,Hudson ,Onslow,TRUE,14,USB food flash drive - fortune cookie,N/A,N/A,0.050000001,32,0,Unknown,N/A,N/A,N/A,9000031793,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
67711,DBA joke mug - daaaaaa-ta (White),4,13,15,52,7.800000191,34,59.79999924,3,Hudson ,Onslow,TRUE,18,DBA joke mug - daaaaaa-ta (White),White,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031794,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
66783,Developer joke mug - that's a hardware problem (White),7,13,15,91,13.64999962,59.5,104.6500015,14,Lily ,Code,TRUE,32,Developer joke mug - that's a hardware problem (White),White,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031795,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
67711,Developer joke mug - this code was generated by a tool (White),8,13,15,104,15.60000038,68,119.5999985,3,Hudson ,Onslow,TRUE,48,Developer joke mug - this code was generated by a tool (White),White,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031796,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
68304,Shipping carton (Brown) 229x229x229mm,100,1.049999952,15,105,15.75,50,120.75,3,Hudson ,Onslow,TRUE,179,Shipping carton (Brown) 229x229x229mm,N/A,229x229x229mm,0.300000012,1.049999952,0,Unknown,N/A,N/A,N/A,9000031797,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
68304,Black and orange handle with care despatch tape  48mmx100m,240,4.099999905,15,984,147.6000061,504,1131.599976,3,Hudson ,Onslow,TRUE,196,Black and orange handle with care despatch tape  48mmx100m,N/A,48mmx100m,0.699999988,4.099999905,0,Unknown,N/A,N/A,N/A,9000031798,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
67711,Shipping carton (Brown) 457x457x457mm,175,2.099999905,15,367.5,55.13000107,175,422.6300049,3,Hudson ,Onslow,TRUE,186,Shipping carton (Brown) 457x457x457mm,N/A,457x457x457mm,0.400000006,2.099999905,0,Unknown,N/A,N/A,N/A,9000031799,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
66783,Air cushion film 200mmx200mm 325m,5,90,15,450,67.5,180,517.5,14,Lily ,Code,TRUE,214,Air cushion film 200mmx200mm 325m,N/A,325m,6,90,0,Unknown,N/A,N/A,N/A,9000031800,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
66783,"The Gu"" red shirt XML tag t-shirt (White) XXL""",120,18,15,2160,324,1260,2484,14,Lily ,Code,TRUE,83,"The Gu"" red shirt XML tag t-shirt (White) XXL""",White,XXL,0.400000006,18,0,Unknown,N/A,N/A,N/A,9000031801,28385,Ravia,Oklahoma,United States,North America,Southwest,Americas,Northern America,528
67562,20 mm Double sided bubble wrap 10m,20,18,15,360,54,200,414,3,Hudson ,Onslow,TRUE,159,20 mm Double sided bubble wrap 10m,N/A,10m,5,18,0,Unknown,N/A,N/A,N/A,9000031802,36091,Watonga,Oklahoma,United States,North America,Southwest,Americas,Northern America,5111
67562,Furry gorilla with big eyes slippers (Black) XL,5,32,15,160,24,117.5,184,3,Hudson ,Onslow,TRUE,133,Furry gorilla with big eyes slippers (Black) XL,Black,XL,0.400000006,32,0,Unknown,N/A,N/A,N/A,9000031803,36091,Watonga,Oklahoma,United States,North America,Southwest,Americas,Northern America,5111
68294,Developer joke mug - when your hammer is C++ (White),10,13,15,130,19.5,85,149.5,3,Hudson ,Onslow,TRUE,36,Developer joke mug - when your hammer is C++ (White),White,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031804,36091,Watonga,Oklahoma,United States,North America,Southwest,Americas,Northern America,5111
67562,DBA joke mug - mind if I join you? (Black),8,13,15,104,15.60000038,68,119.5999985,3,Hudson ,Onslow,TRUE,17,DBA joke mug - mind if I join you? (Black),Black,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031805,36091,Watonga,Oklahoma,United States,North America,Southwest,Americas,Northern America,5111
68294,Black and orange this way up despatch tape  48mmx100m,240,4.099999905,15,984,147.6000061,516,1131.599976,3,Hudson ,Onslow,TRUE,198,Black and orange this way up despatch tape  48mmx100m,N/A,48mmx100m,0.699999988,4.099999905,0,Unknown,N/A,N/A,N/A,9000031806,36091,Watonga,Oklahoma,United States,North America,Southwest,Americas,Northern America,5111
68085,Shipping carton (Brown) 413x285x187mm,250,1.049999952,15,262.5,39.38000107,125,301.8800049,20,Jack ,Potter,TRUE,177,Shipping carton (Brown) 413x285x187mm,N/A,413x285x187mm,0.300000012,1.049999952,0,Unknown,N/A,N/A,N/A,9000031807,37898,Wright City,Oklahoma,United States,North America,Southwest,Americas,Northern America,762
68085,Shipping carton (Brown) 229x229x229mm,125,1.049999952,15,131.25,19.69000053,62.5,150.9400024,20,Jack ,Potter,TRUE,179,Shipping carton (Brown) 229x229x229mm,N/A,229x229x229mm,0.300000012,1.049999952,0,Unknown,N/A,N/A,N/A,9000031808,37898,Wright City,Oklahoma,United States,North America,Southwest,Americas,Northern America,762
68085,Developer joke mug - that's a hardware problem (Black),7,13,15,91,13.64999962,59.5,104.6500015,20,Jack ,Potter,TRUE,33,Developer joke mug - that's a hardware problem (Black),Black,N/A,0.150000006,13,0,Unknown,N/A,N/A,N/A,9000031809,37898,Wright City,Oklahoma,United States,North America,Southwest,Americas,Northern America,762
67361,Ride on toy sedan car (Red) 1/12 scale,8,230,15,1840,276,680,2116,20,Jack ,Potter,TRUE,68,Ride on toy sedan car (Red) 1/12 scale,Red,1/12 scale,15,230,76,"Tailspin Toys (Yewed, OK)",Novelty Shop,Lata Babu,90308,9000031810,38042,Yewed,Oklahoma,United States,North America,Southwest,Americas,Northern America,0
67361,Shipping carton (Brown) 500x310x310mm,75,2.549999952,15,191.25,28.69000053,108.75,219.9400024,20,Jack ,Potter,TRUE,178,Shipping carton (Brown) 500x310x310mm,N/A,500x310x310mm,0.400000006,2.549999952,76,"Tailspin Toys (Yewed, OK)",Novelty Shop,Lata Babu,90308,9000031811,38042,Yewed,Oklahoma,United States,North America,Southwest,Americas,Northern America,0
67361,Furry animal socks (Pink) M,108,5,15,540,81,378,621,20,Jack ,Potter,TRUE,139,Furry animal socks (Pink) M,N/A,M,0.100000001,5,76,"Tailspin Toys (Yewed, OK)",Novelty Shop,Lata Babu,90308,9000031812,38042,Yewed,Oklahoma,United States,North America,Southwest,Americas,Northern America,0
68045,Dinosaur battery-powered slippers (Green) S,10,32,15,320,48,240,368,20,Jack ,Potter,TRUE,118,Dinosaur battery-powered slippers (Green) S,N/A,S,0.349999994,32,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031813,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
66950,10 mm Double sided bubble wrap 10m,60,15,15,900,135,450,1035,3,Hudson ,Onslow,TRUE,156,10 mm Double sided bubble wrap 10m,N/A,10m,5,15,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031814,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
66950,Permanent marker red 5mm nib (Red) 5mm,36,2.700000048,15,97.19999695,14.57999992,36,111.7799988,3,Hudson ,Onslow,TRUE,208,Permanent marker red 5mm nib (Red) 5mm,N/A,5mm,0.100000001,2.700000048,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031815,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
68045,Shipping carton (Brown) 413x285x187mm,50,1.049999952,15,52.5,7.880000114,25,60.38000107,20,Jack ,Potter,TRUE,177,Shipping carton (Brown) 413x285x187mm,N/A,413x285x187mm,0.300000012,1.049999952,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031816,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
68045,Furry animal socks (Pink) S,108,5,15,540,81,378,621,20,Jack ,Potter,TRUE,138,Furry animal socks (Pink) S,N/A,S,0.100000001,5,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031817,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
66950,DBA joke mug - daaaaaa-ta (Black),8,13,15,104,15.60000038,68,119.5999985,3,Hudson ,Onslow,TRUE,19,DBA joke mug - daaaaaa-ta (Black),Black,N/A,0.150000006,13,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031818,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
66950,IT joke mug - keyboard not found ? press F1 to continue (Black),5,13,15,65,9.75,42.5,74.75,3,Hudson ,Onslow,TRUE,53,IT joke mug - keyboard not found ? press F1 to continue (Black),Black,N/A,0.150000006,13,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031819,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
68045,Developer joke mug - understanding recursion requires understanding recursion (Black),10,13,15,130,19.5,85,149.5,20,Jack ,Potter,TRUE,43,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,N/A,0.150000006,13,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031820,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
66950,"The Gu"" red shirt XML tag t-shirt (White) 4XL""",120,18,15,2160,324,1200,2484,3,Hudson ,Onslow,TRUE,85,"The Gu"" red shirt XML tag t-shirt (White) 4XL""",White,4XL,0.400000006,18,598,"Wingtip Toys (Kapa'a, HI)",Novelty Shop,Margit Molnar,90796,9000031821,17340,Kapa'a,Hawaii,United States,North America,Far West,Americas,Northern America,10699
67484,Bubblewrap dispenser (Blue) 1.5m,4,240,15,960,144,520,1104,14,Lily ,Code,TRUE,175,Bubblewrap dispenser (Blue) 1.5m,Blue,1.5m,10,240,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031822,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67484,Shipping carton (Brown) 229x229x229mm,75,1.049999952,15,78.75,11.81000042,37.5,90.55999756,14,Lily ,Code,TRUE,179,Shipping carton (Brown) 229x229x229mm,N/A,229x229x229mm,0.300000012,1.049999952,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031823,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67484,Large sized bubblewrap roll 50m,20,24,15,480,72,220,552,14,Lily ,Code,TRUE,155,Large sized bubblewrap roll 50m,N/A,50m,10,24,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031824,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67185,RC big wheel monster truck with remote control (Black) 1/50 scale,6,45,15,270,40.5,177,310.5,7,Amy ,Trefl,TRUE,66,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,1/50 scale,1.799999952,45,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031825,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67655,Small sized bubblewrap roll 10m,10,4.5,15,45,6.75,23,51.75,2,Kayla ,Woodcock,TRUE,153,Small sized bubblewrap roll 10m,N/A,10m,5,4.5,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031826,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67655,Superhero action jacket (Blue) M,2,30,15,60,9,16,69,2,Kayla ,Woodcock,TRUE,111,Superhero action jacket (Blue) M,Blue,M,0.349999994,30,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031827,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
66949,USB food flash drive - dim sum 10 drive variety pack,5,240,15,1200,180,757.5,1380,14,Lily ,Code,TRUE,8,USB food flash drive - dim sum 10 drive variety pack,N/A,N/A,0.5,240,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031828,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
66990,Developer joke mug - Oct 31 = Dec 25 (Black),7,13,15,91,13.64999962,59.5,104.6500015,20,Jack ,Potter,TRUE,31,Developer joke mug - Oct 31 = Dec 25 (Black),Black,N/A,0.150000006,13,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031829,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67487,DBA joke mug - mind if I join you? (White),8,13,15,104,15.60000038,68,119.5999985,15,Taj ,Shand,TRUE,16,DBA joke mug - mind if I join you? (White),White,N/A,0.150000006,13,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031830,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67185,DBA joke mug - SELECT caffeine FROM mug (White),6,13,15,78,11.69999981,51,89.69999695,7,Amy ,Trefl,TRUE,26,DBA joke mug - SELECT caffeine FROM mug (White),White,N/A,0.150000006,13,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031831,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
67185,Developer joke mug - this code was generated by a tool (White),3,13,15,39,5.849999905,25.5,44.84999847,7,Amy ,Trefl,TRUE,48,Developer joke mug - this code was generated by a tool (White),White,N/A,0.150000006,13,543,"Wingtip Toys (Lexington Heights, MI)",Novelty Shop,Abhaya Rambhatla,90067,9000031832,19338,Lexington Heights,Michigan,United States,North America,Great Lakes,Americas,Northern America,0
